,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
811,35,0,1.0,2.0,2.1,1.0,52.0,7,20.0,10.0,16.6,1.0,0.0,0.0,2022-01-01,0,8,20,3,1.0,0.6666666666666666,10.0,3.0,14.833333333333336,0.0,0.0,0.0,5,1,0,0
812,12,1,1.0,0.0,1.5,0.7,61.0,12,15.0,5.0,14.8,0.0,0.0,0.0,2022-01-01,1,6,14,6,0.6666666666666666,1.3333333333333333,11.666666666666666,4.666666666666667,15.133333333333336,0.3333333333333333,0.0,0.0,5,0,0,1
813,13,0,0.0,0.0,1.6,1.4,52.0,4,11.0,2.0,13.8,0.0,0.0,0.0,2022-01-01,0,11,12,5,0.6666666666666666,1.0,14.333333333333334,5.666666666666667,16.200000000000003,0.3333333333333333,0.0,0.0,5,0,1,0
814,14,1,0.0,0.0,1.3,0.6,66.0,15,12.0,2.0,17.0,0.0,0.0,0.0,2022-01-01,1,8,20,4,0.6666666666666666,0.6666666666666666,15.333333333333334,5.666666666666667,15.066666666666672,0.3333333333333333,0.0,0.0,5,0,1,0
815,15,0,1.0,1.0,1.1,1.3,71.0,12,12.0,4.0,18.0,2.0,0.0,0.0,2022-01-01,0,18,12,5,0.3333333333333333,0.0,12.666666666666666,3.0,15.200000000000005,0.0,0.0,0.0,5,0,1,0
816,16,1,0.0,1.0,1.6,0.6,62.0,12,17.0,4.0,17.0,1.0,0.0,0.0,2022-01-01,1,16,15,5,0.3333333333333333,0.3333333333333333,11.666666666666666,2.6666666666666665,16.26666666666667,0.6666666666666666,0.0,0.0,5,1,0,0
817,17,0,0.0,2.0,0.4,0.8,59.0,12,10.0,2.0,23.8,0.0,0.0,0.0,2022-01-01,0,17,13,6,0.3333333333333333,0.6666666666666666,13.666666666666666,3.333333333333333,17.33333333333334,1.0,0.0,0.0,5,1,0,0
818,18,1,1.0,0.0,1.5,1.0,57.0,4,13.0,3.0,15.8,1.0,0.0,0.0,2022-01-01,1,9,15,5,0.3333333333333333,1.3333333333333333,13.0,3.333333333333333,19.600000000000005,1.0,0.0,0.0,5,0,0,1
819,19,0,3.0,1.0,1.6,2.4,52.0,4,12.0,6.0,15.1,0.0,0.0,0.0,2022-01-01,0,10,15,5,0.3333333333333333,1.0,13.333333333333334,3.0,18.86666666666667,0.6666666666666666,0.0,0.0,5,0,0,1
820,20,1,2.0,2.0,2.3,1.2,68.0,4,19.0,6.0,17.1,0.0,1.0,1.0,2022-01-01,1,7,17,5,1.3333333333333333,1.0,11.666666666666666,3.6666666666666665,18.233333333333334,0.3333333333333333,0.0,0.0,5,0,1,0
821,21,1,0.0,2.0,2.1,0.9,69.0,4,27.0,7.0,16.3,0.0,0.0,0.0,2022-01-01,1,1,17,5,2.0,1.0,14.666666666666666,5.0,16.000000000000004,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,1,0,0
822,36,1,0.0,0.0,2.2,0.3,49.0,7,12.0,2.0,16.1,0.0,0.0,0.0,2022-01-01,1,11,20,1,1.6666666666666667,1.6666666666666667,19.33333333333333,6.333333333333333,16.16666666666667,0.0,0.3333333333333333,0.3333333333333333,5,0,1,0
823,23,0,0.0,1.0,1.1,0.6,62.0,15,13.0,1.0,16.7,0.0,0.0,0.0,2022-01-01,0,19,15,5,0.6666666666666666,1.3333333333333333,19.33333333333333,5.0,16.500000000000004,0.0,0.3333333333333333,0.3333333333333333,5,1,0,0
824,24,1,1.0,2.0,0.5,2.9,43.0,12,8.0,2.0,18.9,0.0,0.0,0.0,2022-01-01,1,4,15,5,0.0,1.0,17.333333333333332,3.333333333333333,16.36666666666667,0.0,0.0,0.0,5,1,0,0
969,0,1,0.0,2.0,1.2,1.0,56.0,12,10.0,2.0,14.2,0.0,0.0,0.0,2022-01-01,1,0,20,4,1.3333333333333333,1.3333333333333333,9.666666666666666,4.0,15.3,0.0,0.0,0.0,6,1,0,0
970,11,0,1.0,1.0,1.0,2.0,28.0,20,7.0,3.0,14.7,0.0,0.0,0.0,2022-01-01,0,11,20,0,1.0,1.6666666666666667,7.666666666666667,3.333333333333333,14.166666666666666,0.0,0.0,0.0,6,0,1,0
971,22,1,3.0,1.0,2.6,0.9,51.0,15,16.0,8.0,15.6,1.0,0.0,1.0,2022-01-01,1,1,15,5,0.6666666666666666,1.0,7.666666666666667,2.6666666666666665,14.333333333333334,0.0,0.0,0.0,6,0,0,1
972,32,0,2.0,4.0,0.1,2.2,26.0,20,2.0,2.0,20.6,0.0,0.0,0.0,2022-01-01,0,12,15,5,1.3333333333333333,1.3333333333333333,11.0,4.333333333333333,14.833333333333334,0.3333333333333333,0.0,0.3333333333333333,6,1,0,0
