,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
311,33,0.0,1.0,0.7,1.5,53.0,10,10.0,2.0,23.5,2.0,0.0,0.0,1,13,20,3,10,0,1,0
312,34,2.0,5.0,1.4,2.6,47.0,17,6.0,4.0,14.8,0.0,0.0,0.0,0,4,14,6,10,0,1,0
313,36,2.0,6.0,1.8,2.2,56.0,10,18.0,6.0,22.7,0.0,1.0,1.0,0,17,17,5,10,0,1,0
314,37,4.0,0.0,1.3,1.1,51.0,10,17.0,7.0,17.7,1.0,0.0,0.0,1,15,20,0,10,1,0,0
315,1,1.0,2.0,1.0,1.1,55.0,10,9.0,5.0,13.2,1.0,0.0,0.0,0,2,15,5,10,0,1,0
316,2,0.0,0.0,1.0,0.4,54.0,10,14.0,5.0,19.4,1.0,0.0,0.0,1,6,12,5,10,0,0,1
317,3,2.0,0.0,0.8,1.3,46.0,10,5.0,1.0,17.7,0.0,0.0,0.0,1,9,20,3,10,1,0,0
318,4,4.0,0.0,0.9,2.1,40.0,10,5.0,4.0,14.7,0.0,0.0,0.0,0,19,14,6,10,1,0,0
319,5,0.0,1.0,0.7,1.0,36.0,4,10.0,5.0,16.4,0.0,0.0,0.0,1,12,12,5,10,0,1,0
320,6,2.0,0.0,2.3,1.2,51.0,10,22.0,8.0,17.5,0.0,0.0,0.0,0,7,17,5,10,1,0,0
321,7,2.0,0.0,1.8,1.4,46.0,10,8.0,5.0,21.3,0.0,0.0,1.0,0,18,15,5,10,1,0,0
322,8,0.0,3.0,0.5,1.9,60.0,12,8.0,2.0,20.1,0.0,0.0,0.0,1,14,15,0,10,0,1,0
323,9,1.0,2.0,1.0,2.2,43.0,12,7.0,2.0,12.1,0.0,0.0,0.0,0,11,20,4,10,0,1,0
324,10,0.0,1.0,1.7,1.7,61.0,12,15.0,6.0,18.9,1.0,0.0,0.0,1,8,19,1,10,0,1,0
325,12,0.0,2.0,1.0,2.4,61.0,12,6.0,1.0,18.0,0.0,0.0,0.0,0,15,15,5,10,0,1,0
326,13,2.0,2.0,0.9,1.7,37.0,17,9.0,2.0,12.1,1.0,0.0,0.0,1,4,15,5,10,0,0,1
327,14,4.0,2.0,2.6,1.7,38.0,12,9.0,5.0,15.3,0.0,0.0,0.0,0,1,15,5,10,1,0,0
328,15,4.0,1.0,1.7,1.3,49.0,12,15.0,6.0,15.6,0.0,0.0,0.0,1,17,15,5,10,1,0,0
329,16,0.0,3.0,1.6,4.4,43.0,12,19.0,3.0,19.0,1.0,0.0,0.0,0,13,14,6,10,0,1,0
330,17,0.0,1.0,0.0,0.7,35.0,15,1.0,0.0,29.4,0.0,0.0,0.0,1,0,15,5,10,0,1,0
331,18,0.0,1.0,1.9,1.4,65.0,12,11.0,0.0,15.8,0.0,0.0,0.0,0,16,17,5,10,0,1,0
332,19,1.0,3.0,2.4,1.6,48.0,4,17.0,6.0,18.3,1.0,0.0,0.0,1,5,15,5,10,0,1,0
333,20,1.0,1.0,1.3,0.6,47.0,12,14.0,1.0,16.8,0.0,0.0,0.0,0,3,15,5,10,0,0,1
334,21,1.0,2.0,0.2,2.3,48.0,12,3.0,2.0,13.8,0.0,0.0,0.0,0,6,15,5,10,0,1,0
335,35,1.0,2.0,0.5,1.0,36.0,15,9.0,4.0,16.7,1.0,0.0,0.0,1,1,19,1,10,0,1,0
336,23,0.0,1.0,0.7,2.0,51.0,12,14.0,4.0,16.9,0.0,0.0,0.0,1,2,15,5,10,0,1,0
337,24,1.0,3.0,2.3,1.6,30.0,4,11.0,4.0,14.3,0.0,0.0,0.0,0,12,17,5,10,0,1,0
338,0,2.0,2.0,1.2,1.2,67.0,15,11.0,3.0,12.4,0.0,0.0,0.0,0,8,12,5,11,0,0,1
339,11,1.0,1.0,2.0,1.0,72.0,15,24.0,4.0,17.4,0.0,0.0,0.0,1,6,20,0,11,0,0,1
340,22,1.0,2.0,1.3,1.8,70.0,15,17.0,5.0,14.4,0.0,0.0,0.0,0,13,20,0,11,0,1,0
341,32,9.0,0.0,3.3,0.3,69.0,15,19.0,12.0,11.6,0.0,0.0,0.0,1,2,15,5,11,1,0,0
342,33,2.0,1.0,1.5,0.7,72.0,15,23.0,6.0,17.8,0.0,0.0,0.0,1,14,20,2,11,1,0,0
343,34,0.0,0.0,2.1,1.7,61.0,15,23.0,8.0,13.1,0.0,0.0,0.0,0,7,12,5,11,0,0,1
344,37,3.0,3.0,1.5,1.4,54.0,15,15.0,7.0,16.8,1.0,0.0,0.0,1,4,15,5,11,0,0,1
345,1,2.0,3.0,1.1,2.7,57.0,12,8.0,3.0,18.0,0.0,0.0,0.0,0,0,16,6,11,0,1,0
346,2,1.0,0.0,2.1,1.0,37.0,12,13.0,2.0,17.5,0.0,0.0,0.0,1,12,16,6,11,1,0,0
347,3,1.0,0.0,1.7,1.7,54.0,17,22.0,7.0,17.5,0.0,0.0,0.0,1,18,19,2,11,1,0,0
348,4,0.0,1.0,1.6,1.9,75.0,17,15.0,7.0,10.4,0.0,0.0,0.0,0,15,12,5,11,0,1,0
349,5,1.0,2.0,1.7,1.8,68.0,8,22.0,10.0,16.4,0.0,0.0,0.0,1,9,19,5,11,0,1,0
350,6,2.0,1.0,1.2,1.2,53.0,8,13.0,6.0,21.2,0.0,0.0,0.0,0,17,16,6,11,1,0,0
