,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
924,15,4.0,3.0,0.8,0.8,36.0,15,16.0,7.0,20.3,0.0,0.0,0.0,1,12,16,6,11,1,0,0
925,18,2.0,2.0,1.2,2.6,34.0,15,9.0,3.0,15.4,0.0,0.0,0.0,1,17,16,6,11,0,0,1
926,19,2.0,0.0,1.9,0.9,48.0,15,16.0,4.0,18.8,0.0,0.0,0.0,0,16,16,6,11,1,0,0
927,20,4.0,1.0,4.0,0.4,67.0,15,21.0,12.0,15.5,1.0,0.0,0.0,1,18,15,5,11,1,0,0
928,21,2.0,0.0,1.5,0.3,70.0,15,14.0,3.0,13.6,0.0,0.0,0.0,1,14,17,5,11,1,0,0
929,23,1.0,2.0,0.7,0.7,67.0,15,14.0,2.0,21.5,0.0,0.0,0.0,0,13,12,5,11,0,1,0
930,25,2.0,1.0,1.8,1.9,67.0,15,16.0,6.0,16.0,0.0,0.0,0.0,0,6,12,5,11,1,0,0
931,26,0.0,0.0,0.9,0.6,61.0,15,10.0,3.0,21.9,1.0,0.0,0.0,0,7,12,5,11,0,0,1
932,27,3.0,0.0,2.0,0.3,61.0,15,20.0,6.0,20.1,1.0,0.0,0.0,1,2,17,5,11,1,0,0
933,30,0.0,1.0,0.5,0.6,68.0,15,10.0,5.0,18.6,0.0,0.0,0.0,0,5,16,6,11,0,1,0
934,31,4.0,0.0,2.8,0.1,72.0,12,22.0,10.0,14.5,0.0,0.0,0.0,1,4,15,6,11,1,0,0
935,0,4.0,0.0,4.0,0.7,64.0,15,18.0,8.0,13.8,2.0,0.0,0.0,1,18,13,6,11,1,0,0
936,11,2.0,0.0,2.6,0.4,63.0,15,15.0,5.0,19.8,1.0,1.0,1.0,0,6,20,0,11,1,0,0
937,22,1.0,0.0,1.6,0.6,69.0,15,22.0,7.0,16.8,1.0,0.0,0.0,1,4,17,5,11,1,0,0
938,32,2.0,1.0,1.0,1.0,49.0,15,10.0,4.0,16.3,0.0,0.0,0.0,0,10,12,5,11,1,0,0
939,33,2.0,1.0,2.6,1.0,40.0,15,17.0,10.0,13.9,1.0,0.0,0.0,0,17,12,5,11,1,0,0
940,34,3.0,0.0,1.7,0.3,61.0,12,12.0,3.0,15.2,1.0,0.0,0.0,1,16,15,5,11,1,0,0
941,35,1.0,1.0,1.6,1.1,53.0,15,13.0,4.0,17.9,1.0,0.0,0.0,0,5,17,5,11,0,0,1
942,36,0.0,0.0,0.4,1.0,49.0,15,7.0,2.0,16.7,0.0,0.0,0.0,1,12,16,6,11,0,0,1
943,2,1.0,1.0,1.3,1.4,39.0,15,13.0,4.0,17.3,0.0,0.0,0.0,0,0,17,5,11,0,0,1
944,3,2.0,0.0,1.8,0.5,71.0,12,21.0,7.0,20.1,3.0,0.0,0.0,1,8,12,6,11,1,0,0
945,5,1.0,0.0,2.9,1.1,58.0,12,16.0,3.0,16.2,0.0,0.0,0.0,1,7,16,6,11,1,0,0
946,7,4.0,0.0,1.6,0.3,59.0,17,10.0,4.0,18.1,1.0,0.0,0.0,0,2,12,5,11,1,0,0
947,8,3.0,1.0,2.5,0.7,64.0,16,36.0,10.0,19.7,0.0,0.0,0.0,1,13,16,6,11,1,0,0
948,9,2.0,0.0,1.9,0.9,61.0,12,15.0,6.0,16.1,0.0,0.0,0.0,0,19,20,4,11,1,0,0
949,10,4.0,0.0,2.9,0.5,74.0,12,15.0,7.0,15.1,1.0,1.0,1.0,1,14,15,2,11,1,0,0
950,12,5.0,1.0,3.8,1.0,48.0,12,13.0,8.0,19.4,0.0,2.0,2.0,1,0,17,5,11,1,0,0
951,13,1.0,2.0,1.5,1.1,51.0,15,7.0,4.0,11.3,0.0,0.0,0.0,0,12,20,3,11,0,1,0
952,14,1.0,0.0,2.0,0.4,70.0,12,9.0,2.0,15.1,0.0,1.0,1.0,0,4,15,5,11,1,0,0
953,15,4.0,3.0,2.6,0.7,70.0,12,19.0,9.0,15.7,0.0,0.0,0.0,1,6,15,5,11,1,0,0
954,16,1.0,1.0,0.6,1.1,72.0,12,10.0,3.0,16.8,1.0,0.0,0.0,1,10,20,2,11,0,0,1
955,17,1.0,1.0,1.1,0.8,73.0,15,11.0,6.0,17.3,0.0,0.0,0.0,0,18,20,0,11,0,0,1
956,18,3.0,0.0,2.0,0.4,65.0,15,20.0,9.0,16.3,0.0,0.0,0.0,1,2,15,5,11,1,0,0
957,19,0.0,0.0,0.5,0.3,64.0,15,7.0,1.0,17.5,1.0,0.0,0.0,0,13,14,6,11,0,0,1
958,21,0.0,0.0,1.1,0.3,57.0,15,10.0,3.0,17.3,1.0,0.0,0.0,0,7,16,6,11,0,0,1
959,24,2.0,1.0,2.6,1.1,62.0,15,15.0,5.0,15.5,0.0,1.0,1.0,0,8,14,6,11,1,0,0
960,25,2.0,1.0,1.0,0.7,48.0,15,14.0,3.0,17.9,1.0,0.0,0.0,1,17,16,6,11,1,0,0
961,26,3.0,1.0,1.9,0.9,67.0,15,17.0,5.0,15.4,0.0,0.0,0.0,0,16,20,4,11,1,0,0
962,27,2.0,0.0,1.2,0.7,62.0,15,15.0,7.0,17.9,0.0,0.0,0.0,1,5,16,6,11,1,0,0
963,30,3.0,2.0,1.2,1.4,69.0,15,11.0,4.0,12.8,0.0,0.0,0.0,0,14,19,5,11,1,0,0
964,31,2.0,0.0,1.6,1.3,59.0,15,13.0,5.0,15.8,1.0,0.0,0.0,1,19,15,6,11,1,0,0
965,11,2.0,1.0,1.3,1.9,63.0,15,15.0,6.0,18.6,1.0,0.0,0.0,0,16,15,5,11,1,0,0
966,22,3.0,1.0,2.5,1.0,52.0,15,24.0,4.0,18.8,0.0,1.0,1.0,1,0,17,5,11,1,0,0
967,33,3.0,1.0,3.0,0.3,74.0,15,21.0,8.0,13.6,0.0,0.0,0.0,1,14,12,5,11,1,0,0
968,34,2.0,1.0,0.6,1.3,45.0,15,6.0,3.0,13.9,0.0,0.0,0.0,0,5,16,6,11,1,0,0
969,36,2.0,1.0,3.5,0.1,51.0,15,17.0,7.0,15.0,1.0,1.0,1.0,1,10,15,5,11,1,0,0
970,37,1.0,1.0,1.2,0.7,66.0,15,10.0,4.0,19.0,0.0,0.0,0.0,0,13,16,6,11,0,0,1
971,1,2.0,1.0,2.6,1.2,67.0,15,20.0,12.0,16.4,1.0,1.0,1.0,1,17,16,6,11,1,0,0
972,2,2.0,1.0,2.4,0.4,73.0,15,25.0,6.0,14.6,1.0,0.0,0.0,0,1,15,5,11,1,0,0
973,3,3.0,1.0,1.1,1.3,45.0,15,12.0,5.0,15.9,0.0,0.0,0.0,1,12,16,6,11,1,0,0
974,4,2.0,1.0,1.4,1.0,60.0,15,12.0,4.0,13.6,0.0,0.0,0.0,0,6,15,5,11,1,0,0
975,5,2.0,1.0,1.3,0.8,44.0,15,15.0,7.0,15.2,0.0,0.0,0.0,1,4,15,5,11,1,0,0
976,6,5.0,2.0,2.0,1.5,58.0,12,11.0,5.0,15.0,0.0,0.0,0.0,1,7,20,2,11,1,0,0
977,7,3.0,0.0,2.4,0.1,73.0,15,21.0,9.0,15.9,1.0,0.0,0.0,0,2,15,5,11,1,0,0
978,10,4.0,0.0,3.2,0.1,59.0,15,14.0,5.0,14.4,0.0,1.0,1.0,0,10,20,3,11,1,0,0
979,12,1.0,0.0,1.2,0.5,62.0,12,10.0,3.0,14.4,0.0,0.0,0.0,1,19,16,6,11,1,0,0
980,14,1.0,0.0,1.2,1.2,67.0,15,13.0,6.0,13.8,0.0,0.0,0.0,0,17,17,5,11,1,0,0
981,15,2.0,0.0,1.9,1.3,53.0,15,16.0,5.0,15.5,0.0,0.0,0.0,1,13,16,6,11,1,0,0
982,16,2.0,1.0,1.1,1.8,53.0,15,13.0,6.0,14.7,1.0,0.0,0.0,0,19,20,3,11,1,0,0
983,9,2.0,0.0,2.8,0.7,70.0,15,12.0,4.0,20.2,1.0,1.0,1.0,0,18,19,2,11,1,0,0
984,17,4.0,0.0,3.2,0.8,62.0,15,16.0,9.0,15.0,1.0,0.0,0.0,1,16,15,5,11,1,0,0
985,19,3.0,2.0,2.4,0.7,69.0,15,25.0,7.0,16.2,1.0,0.0,0.0,1,18,20,0,11,1,0,0
986,21,2.0,1.0,1.8,1.4,74.0,15,14.0,6.0,19.7,0.0,0.0,0.0,1,2,12,5,11,1,0,0
987,23,0.0,0.0,0.7,0.9,69.0,15,10.0,3.0,18.5,3.0,0.0,0.0,0,7,19,6,11,0,0,1
988,24,4.0,0.0,2.4,0.1,73.0,15,21.0,7.0,17.8,2.0,0.0,0.0,1,6,20,2,11,1,0,0
989,25,0.0,4.0,1.1,2.4,53.0,15,11.0,3.0,16.3,1.0,0.0,0.0,0,12,20,3,11,0,1,0
990,26,2.0,0.0,0.7,0.7,70.0,15,6.0,4.0,18.1,0.0,0.0,0.0,1,1,16,6,11,1,0,0
991,27,3.0,1.0,2.5,2.4,56.0,15,20.0,8.0,14.2,0.0,0.0,0.0,0,4,20,2,11,1,0,0
992,29,1.0,2.0,2.1,0.8,69.0,15,24.0,8.0,16.7,0.0,0.0,0.0,0,0,20,2,11,0,1,0
993,30,5.0,3.0,1.7,2.4,50.0,15,10.0,7.0,14.4,1.0,0.0,0.0,1,5,20,2,11,1,0,0
994,31,3.0,1.0,0.6,0.1,74.0,15,14.0,6.0,20.0,0.0,0.0,0.0,0,14,16,6,11,1,0,0
995,0,4.0,3.0,2.7,0.3,49.0,15,20.0,4.0,18.4,0.0,2.0,2.0,1,9,17,5,11,1,0,0
996,11,2.0,0.0,2.1,0.9,61.0,15,18.0,5.0,18.2,1.0,0.0,0.0,0,5,16,6,11,1,0,0
997,22,3.0,1.0,2.7,1.3,66.0,15,21.0,8.0,17.9,0.0,0.0,0.0,1,0,20,0,11,1,0,0
998,32,2.0,7.0,1.8,2.7,69.0,15,14.0,8.0,16.3,1.0,0.0,0.0,0,1,19,6,11,0,1,0
999,33,2.0,2.0,2.6,1.2,58.0,15,22.0,8.0,16.0,2.0,0.0,0.0,0,7,12,5,11,0,0,1
1000,35,2.0,1.0,1.7,0.3,72.0,15,8.0,4.0,20.0,1.0,1.0,1.0,1,18,17,5,11,1,0,0
1001,36,1.0,1.0,1.2,1.4,46.0,12,9.0,2.0,22.1,1.0,1.0,1.0,0,12,16,6,11,0,0,1
