,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_home
104,4,0,0.0,4.0,0.9,2.8,55.0,7,12.0,3.0,16.8,0.0,0.0,0.0,0,1,14,6,1.0,1.6666666666666667,6.333333333333333,2.6666666666666665,16.333333333333332,0.0,0.6666666666666666,0.6666666666666666,3,1,0
105,5,1,1.0,1.0,1.4,0.6,58.0,15,12.0,3.0,15.4,0.0,0.0,0.0,1,19,15,5,0.6666666666666666,1.3333333333333333,8.666666666666666,3.0,15.866666666666667,0.0,0.3333333333333333,0.3333333333333333,3,0,0
106,6,0,2.0,2.0,1.5,1.5,52.0,15,5.0,1.0,20.3,0.0,1.0,1.0,0,15,15,5,0.3333333333333333,1.6666666666666667,10.666666666666666,3.6666666666666665,15.566666666666668,0.0,0.0,0.0,3,0,0
107,7,0,2.0,1.0,1.3,1.6,26.0,7,10.0,7.0,15.2,0.0,0.0,0.0,0,12,12,5,1.0,2.333333333333333,9.666666666666666,2.333333333333333,17.5,0.0,0.3333333333333333,0.3333333333333333,3,0,1
108,8,1,2.0,2.0,2.0,1.1,39.0,7,9.0,4.0,10.2,0.0,0.0,0.0,1,17,12,0,1.6666666666666667,1.3333333333333333,9.0,3.6666666666666665,16.96666666666667,0.0,0.3333333333333333,0.3333333333333333,3,0,0
109,9,0,2.0,0.0,1.6,1.3,37.0,7,9.0,6.0,13.4,1.0,0.0,0.0,0,18,19,4,2.0,1.6666666666666667,8.0,4.0,15.233333333333333,0.0,0.3333333333333333,0.3333333333333333,3,0,1
110,10,1,3.0,1.0,1.7,2.0,28.0,7,10.0,7.0,10.5,0.0,0.0,0.0,1,11,17,0,2.0,1.0,9.333333333333334,5.666666666666667,12.933333333333332,0.3333333333333333,0.0,0.0,3,0,1
111,12,1,2.0,0.0,1.4,0.6,50.0,15,11.0,3.0,23.3,0.0,1.0,1.0,1,2,17,5,2.333333333333333,1.0,9.333333333333334,5.666666666666667,11.366666666666667,0.3333333333333333,0.0,0.0,3,0,1
112,13,0,0.0,0.0,0.4,0.5,42.0,7,6.0,0.0,24.2,1.0,0.0,0.0,0,9,14,6,2.333333333333333,0.3333333333333333,10.0,5.333333333333333,15.733333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,0
113,14,1,3.0,0.0,2.2,0.7,49.0,15,14.0,3.0,12.1,0.0,0.0,0.0,1,16,15,5,1.6666666666666667,0.3333333333333333,9.0,3.333333333333333,19.33333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,1
