,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
0,33,0,0.0,0.0,1.4,0.8,49.0,4,11.0,2.0,17.5,0.0,0.0,0.0,2017-01-01,0,5,13,6,2.333333333333333,2.333333333333333,17.333333333333332,6.333333333333333,17.3,0.3333333333333333,0.0,0.0,0,0,1,0
1,35,1,2.0,0.0,2.4,0.4,64.0,4,25.0,8.0,18.4,2.0,0.0,0.0,2017-01-01,1,4,12,6,1.0,1.3333333333333333,12.0,3.6666666666666665,16.566666666666666,0.3333333333333333,0.0,0.0,0,0,0,1
2,37,0,5.0,2.0,3.5,1.0,67.0,4,30.0,14.0,16.6,2.0,0.0,0.0,2017-01-01,0,7,13,6,1.6666666666666667,0.0,17.666666666666668,6.333333333333333,17.166666666666664,1.0,0.0,0.0,0,0,0,1
3,2,0,1.0,3.0,0.3,1.8,43.0,4,6.0,3.0,20.5,1.0,0.0,0.0,2017-01-01,0,12,14,6,2.333333333333333,0.6666666666666666,22.0,8.0,17.5,1.3333333333333333,0.0,0.0,0,1,0,0
4,3,1,2.0,0.0,2.1,0.7,43.0,4,14.0,5.0,16.4,1.0,0.0,0.0,2017-01-01,1,17,12,5,2.6666666666666665,1.6666666666666667,20.33333333333333,8.333333333333334,18.5,1.6666666666666667,0.0,0.0,0,0,0,1
5,6,1,1.0,3.0,4.7,1.8,75.0,4,33.0,14.0,16.7,2.0,0.0,0.0,2017-01-01,1,13,17,5,2.6666666666666665,1.6666666666666667,16.666666666666668,7.333333333333333,17.833333333333332,1.3333333333333333,0.0,0.0,0,1,0,0
6,7,0,1.0,1.0,0.7,1.3,67.0,4,11.0,6.0,20.6,1.0,0.0,0.0,2017-01-01,0,16,12,6,1.3333333333333333,2.0,17.666666666666668,7.333333333333333,17.866666666666664,1.3333333333333333,0.0,0.0,0,0,1,0
7,8,0,0.0,0.0,1.0,0.4,69.0,15,22.0,3.0,21.5,2.0,0.0,0.0,2017-01-01,0,18,20,2,1.3333333333333333,1.3333333333333333,19.33333333333333,8.333333333333334,17.900000000000002,1.3333333333333333,0.0,0.0,0,0,1,0
8,9,1,1.0,0.0,1.8,0.3,71.0,15,23.0,5.0,17.4,0.0,0.0,0.0,2017-01-01,1,14,15,5,0.6666666666666666,1.3333333333333333,22.0,7.666666666666667,19.6,1.6666666666666667,0.0,0.0,0,0,0,1
9,10,1,3.0,3.0,1.2,2.0,54.0,12,11.0,4.0,19.9,1.0,0.0,0.0,2017-01-01,1,11,19,4,0.6666666666666666,0.3333333333333333,18.666666666666668,4.666666666666667,19.83333333333333,1.0,0.0,0.0,0,0,1,0
10,12,0,3.0,2.0,1.8,1.3,64.0,4,16.0,9.0,18.5,1.0,0.0,0.0,2017-01-01,0,6,20,3,1.3333333333333333,1.0,18.666666666666668,4.0,19.6,1.0,0.0,0.0,0,0,0,1
